164681914400;1050;2.580001;10.94;-6.750001;0;0;0;1;0.6999999;0.7;0.6999999
164681914401;1049;0.370001;-0.03;-6.270001;0;-1;2.185569E-08;0;0.910001;0.91;0.910001
164681914402;1035;8.099999;17.59;22.01;0;0.9986091;0;0.05272504;0.7000002;0.7;0.7000002
164681914403;1025;-9.800003;15.141;22.8;0;0.9986091;0;0.05272504;1.05;1.05;1.05
164681914404;1026;-7.710001;1.74;-0.0600009;0;-0.7071068;0;0.7071068;0.6999998;0.7;0.6999998
164681914405;1017;8.470001;1.09;1.623001;0;-0.7071068;0;0.7071068;0.4200001;0.42;0.4200001
164681914406;1018;13.24201;5.486001;0.6850023;0;-0.7071068;0;0.7071068;0.6999998;0.7;0.6999998
164681914407;1015;-10.311;19.198;-1.911001;0;0.7071068;0;0.7071068;1.05;1.05;1.05
164681914408;1004;-10.7;11.61;-2.009001;0;0.7071068;0;0.7071068;0.6999998;0.7;0.6999998
164681914409;1003;7.160001;5.22;-2.429999;0;-1;2.185569E-08;0;0.910001;0.91;0.910001
