164446623200;1018;9.76;2.13;3.39;6.984187E-09;-0.9475663;-2.070972E-08;0.3195592;0.259137;0.259137;0.259137
164446623201;1031;3.33;0.77;4.76;0;-0.9989385;0;-0.0460632;1;1;1
164446623202;1015;9.67;0;-2.31;0;0.4453014;0;-0.8953807;0.7065607;0.7065607;0.7065607
164446623203;1032;-8.79;0;4.63;0;0;0;1;0.39552;0.39552;0.39552
164446623204;1035;-10.35;0;3.45;0;0;0;1;0.2779155;0.2779155;0.2779155
164446623205;1029;5.13;0;1.18;0;0.999612;0;-0.0278559;1;1;1
164446623206;1030;-0.16;0;5.053078;0;0;0;1;1;1;1
164446623207;1028;4.245;0.01;1.301;0;-0.9753638;0;0.2206027;1;1;1
164446623208;1012;7.96;0;-5.75;0;-0.4583796;0;0.8887565;0.58603;0.58603;0.58603
164446623209;1010;-9.16;0;-7.83;0;0.5316187;0;0.8469839;1;1;1
164446623210;1013;6.9;0;-11.87;0;-0.4658563;0;0.8848604;0.7792643;0.7792643;0.7792643
164446623211;1009;-6.81;0;-16.92;0;0;0;1;0.6509;0.6509;0.6509
164446623212;1006;1.15;0;-16.54;0;0;0;1;0.633009;0.633009;0.633009
164446623213;1002;-3.37;0;-2.833797;0;0.7162908;0;0.6978019;1;1;1
164446623214;1003;-1.82;0;-9;0;0.166051;0;0.9861172;1;1;1
164446623215;1017;3.75;0;-5.91;0;-0.6550422;0;0.7555924;1;1;1
164446623216;1016;2.92;0;-3.85;0;-0.909158;0;0.4164515;1;1;1
164446623217;1022;-1.87;5.39;0.84;0;-0.9996852;0;-0.02509401;0.4772949;0.4772949;0.4772949
164446623218;1020;-6.32;7.84;-7.08;0;0.4227376;0;0.9062522;0.404263;0.404263;0.404263
164446623219;1025;6.73;2.96;-2.53;1.645355E-08;-0.658219;-1.438583E-08;0.7528266;0.3013;0.3013;0.3013
164446623220;1014;-4.48;0;0.17;0;0.8671842;0;0.4979876;1;1;1
164446623221;1001;-5.7;0;4.6;-0.6704531;-0.2247059;-0.2247058;0.6704531;1;1;1
164446623222;1050;-8.27;0;1.22;-0.6333076;-0.3145181;-0.314518;0.6333075;1;1;1
